RTT,Hora
5,00:13:09,
12,00:13:10,
6,00:13:10,
7,00:13:11,
4,00:13:11,
9,00:13:11,
20,00:13:12,
8,00:13:12,
3,00:13:13,
25,00:13:13,
25,00:13:13,
14,00:13:14,
3,00:13:14,
21,00:13:15,
3,00:13:15,
1,00:13:15,
23,00:13:16,
6,00:13:16,
3,00:13:17,
7,00:13:17,
5,00:13:17,
11,00:13:18,
15,00:13:18,
17,00:13:19,
13,00:13:19,
9,00:13:19,
21,00:13:20,
20,00:13:20,
4,00:13:21,
21,00:13:21,
13,00:13:22,
14,00:13:22,
25,00:13:22,
24,00:13:23,
7,00:13:23,
7,00:13:24,
21,00:13:24,
17,00:13:24,
5,00:13:25,
22,00:13:25,
6,00:13:26,
19,00:13:26,
6,00:13:26,
5,00:13:27,
25,00:13:27,
24,00:13:28,
0,00:13:28,
23,00:13:28,
12,00:13:29,
14,00:13:29,
25,00:13:30,
13,00:13:30,
3,00:13:30,
20,00:13:31,
6,00:13:31,
5,00:13:32,
5,00:13:32,
5,00:13:32,
15,00:13:33,
22,00:13:33,
15,00:13:34,
12,00:13:34,
6,00:13:34,
5,00:13:35,
6,00:13:35,
21,00:13:36,
20,00:13:36,
7,00:13:36,
3,00:13:37,
24,00:13:37,
25,00:13:38,
17,00:13:38,
3,00:13:38,
7,00:13:39,
8,00:13:39,
22,00:13:40,
23,00:13:40,
5,00:13:40,
5,00:13:41,
6,00:13:41,
3,00:13:42,
19,00:13:42,
6,00:13:42,
5,00:13:43,
25,00:13:43,
24,00:13:44,
20,00:13:44,
7,00:13:44,
8,00:13:45,
7,00:13:45,
13,00:13:46,
13,00:13:46,
5,00:13:46,
21,00:13:47,
6,00:13:47,
5,00:13:48,
23,00:13:48,
16,00:13:48,
15,00:13:49,
22,00:13:49,
5,00:13:50,
19,00:13:50,
3,00:13:50,
17,00:13:51,
6,00:13:51,
7,00:13:52,
19,00:13:52,
25,00:13:52,
25,00:13:53,
7,00:13:53,
25,00:13:54,
13,00:13:54,
25,00:13:54,
9,00:13:55,
2,00:13:55,
5,00:13:56,
19,00:13:56,
22,00:13:56,
3,00:13:57,
3,00:13:57,
15,00:13:58,
11,00:13:58,
8,00:13:58,
7,00:13:59,
5,00:13:59,
20,00:14:00,
15,00:14:00,
20,00:14:00,
13,00:14:01,
24,00:14:01,
25,00:14:02,
16,00:14:02,
5,00:14:02,
9,00:14:03,
11,00:14:03,
17,00:14:04,
23,00:14:04,
17,00:14:04,
3,00:14:05,
22,00:14:05,
2,00:14:06,
12,00:14:06,
15,00:14:06,
22,00:14:07,
13,00:14:07,
20,00:14:08,
18,00:14:08,
24,00:14:08,
25,00:14:09,
24,00:14:09,
5,00:14:10,
13,00:14:10,
5,00:14:10,
24,00:14:11,
14,00:14:11,
22,00:14:12,
22,00:14:12,
1,00:14:12,
15,00:14:13,
5,00:14:13,
6,00:14:14,
12,00:14:14,
3,00:14:14,
22,00:14:15,
6,00:14:15,
3,00:14:16,
19,00:14:16,
7,00:14:16,
3,00:14:17,
21,00:14:17,
2,00:14:18,
16,00:14:18,
5,00:14:18,
