latencia [ms]
24
19
22
25
17
17
24
19
23
17
25
9
24
22
25
17
13
11
18
21
19
3
22
5
16
4
16
25
15
1
13
9
3
17
11
17
3
22
17
2
26
17
23
23
18
23
39
13
2
25
18
24
26
12
2
15
25
3
18
25
21
14
4
13
26
22
18
12
1
12
25
3
25
12
2
20
17
24
0
7
22
5
3
4
22
5
17
2
22
23
20
2
17
3
22
20
23
15
20
8
19
2
2
4
24
2
19
22
22
21
19
4
21
27
1
15
25
6
5
5
18
2
21
18
12
11
24
13
8
13
15
1
18
19
4
23
3
17
20
2
26
17
9
25
18
1
21
16
8
25
21
1
18
17
3
17
10
24
0
18
23
17
11
11
17
13
12
25
22
25
15
1
12
16
10
18
3
16
19
18
20
14
1
12
16
3
25
15
1
12
19
23
3
40
24
1
25
11
19
4
21
17
26
25
22
17
22
21
3
10
19
19
23
14
5
11
7
5
25
21
22
24
23
19
23
4
17
15
47
9
17
25
17
22
4
20
6
24
19
11
22
19
2
25
21
1
18
25
2
19
18
1
21
2
25
25
4
3
2
10
1
11
9
25
1
4
21
17
22
39
24
22
25
19
0
17
2
16
18
21
19
3
2
1
12
21
15
25
3
16
10
9
21
2
1
22
4
19
4
9
23
21
2
1
12
1
15
18
22
24
12
1
12
24
27
23
6
21
4
22
17
24
15
13
21
5
4
22
20
13
2
15
20
21
18
13
9
10
18
21
22
10
2
13
21
15
18
23
25
18
2
16
20
21
18
13
2
10
1
5
15
13
3
11
11
27
19
4
23
20
2
26
22
9
18
21
2
18
18
1
19
21
1
21
19
21
3
20
7
8
1
20
21
3
22
11
4
26
2
1
20
19
22
16
15
1
12
3
14
21
19
2
14
1
15
25
3
16
15
1
12
17
21
18
12
10
13
2
17
15
19
22
14
4
12
19
21
25
20
2
15
16
3
16
12
21
12
3
19
21
5
20
10
16
22
3
25
17
14
5
19
23
10
19
25
0
19
25
23
23
5
17
23
22
17
23
0
23
13
22
13
26
21
14
23
14
24
2
12
22
1
13
12
1
12
25
22
19
12
21
15
1
14
21
21
23
18
1
12
17
22
19
11
4
12
25
3
25
14
4
17
1
20
19
10
16
17
2
19
18
19
27
17
24
17
23
25
23
1
1
22
22
24
17
9
22
20
22
20
15
22
13
17
23
18
10
10
11
3
20
15
5
23
23
4
0
19
2
17
14
9
17
20
22
17
17
25
15
17
24
21
24
3
20
4
15
10
25
2
19
23
22
26
17
22
21
25
19
25
14
21
47
26
21
22
10
23
23
9
24
2
17
2
15
4
24
25
16
2
20
2
9
18
20
4
19
23
22
21
19
2
17
2
20
25
7
9
19
2
17
23
9
23
19
2
17
19
25
19
17
4
23
23
22
19
1
21
17
22
13
17
21
20
15
5
11
11
25
19
5
0
20
25
17
17
2
16
18
2
21
23
9
16
20
39
18
6
17
0
3
18
25
9
17
21
1
21
25
9
16
18
2
18
4
20
21
2
22
2
1
17
17
2
25
0
1
22
15
9
24
11
21
18
4
22
15
25
22
20
2
21
19
8
24
17
1
21
9
40
1
24
25
17
26
1
21
26
1
19
22
14
23
26
17
13
22
17
23
25
19
15
22
13
26
1
22
26
1
19
22
17
17
23
23
22
26
3
13
2
19
15
2
19
4
18
19
13
22
17
2
19
17
4
18
18
9
21
14
53
17
17
25
23
2
15
22
7
20
4
25
21
20
5
20
3
22
23
18
23
27
20
25
20
26
24
19
10
21
22
24
23
15
25
23
17
24
15
11
2
19
20
12
15
3
18
20
23
22
21
21
25
11
9
17
23
25
3
2
2
18
18
2
25
4
23
23
9
3
19
2
16
18
1
21
25
2
19
18
2
18
18
2
19
8
23
17
9
3
21
9
25
21
1
21
25
8
16
18
17
27
21
24
20
26
23
15
20
39
15
9
25
18
4
21
16
2
15
21
26
21
2
23
11
2
17
22
3
4
40
23
3
17
2
19
2
20
25
2
21
22
5
17
3
25
21
19
5
17
2
9
17
20
2
23
2
25
25
25
21
21
10
19
2
9
17
14
25
15
25
24
19
20
2
18
3
22
19
25
20
20
1
1
17
6
16
21
4
22
16
13
25
21
4
21
3
24
27
6
15
18
3
16
9
4
12
18
22
19
12
1
15
18
22
19
2
25
14
9
1
20
22
18
15
4
15
16
22
17
15
1
12
5
24
3
2
23
39
5
11
24
1
21
11
9
19
1
12
27
8
23
18
2
1
12
1
12
16
22
24
15
1
12
19
3
19
25
21
22
4
2
4
22
16
15
1
12
19
22
19
15
10
8
19
23
17
19
3
22
4
3
21
11
18
20
3
18
25
2
1
11
2
12
16
3
19
26
3
14
13
22
21
21
21
19
24
21
19
17
22
23
21
17
20
11
19
1
24
25
25
25
24
18
16
21
24
23
17
25
17
21
23
20
17
22
19
7
1
10
11
12
12
9
16
18
5
21
19
2
19
18
1
22
1
19
10
13
2
20
3
21
40
25
23
19
5
21
23
25
20
23
11
20
7
20
4
5
21
19
4
17
3
25
3
17
17
22
16
3
14
21
19
3
19
7
8
6
18
23
19
21
10
2
17
23
3
23
14
5
11
3
7
21
19
23
16
6
16
4
19
23
11
3
14
2
19
3
10
2
14
3
19
21
21
1
8
7
22
13
17
22
14
23
27
17
22
23
17
10
12
19
9
25
22
39
20
20
23
21
5
18
23
23
2
15
2
15
11
16
19
23
1
20
10
18
17
20
23
15
2
15
3
23
24
18
25
17
21
16
20
6
24
25
22
21
20
5
23
3
24
21
17
9
23
3
25
18
23
2
23
5
11
39
21
21
10
1
15
22
3
17
11
11
15
17
22
16
19
3
14
3
13
24
22
25
17
6
2
19
7
10
19
3
19
5
15
20
7
8
13
2
13
18
21
21
11
10
12
13
2
16
18
2
21
1
20
10
2
19
1
22
25
12
2
12
19
22
19
20
21
15
25
22
25
25
21
22
13
22
21
22
19
13
1
12
19
17
24
18
23
13
12
4
12
2
16
3
48
23
3
25
3
23
4
23
23
11
13
13
22
19
15
2
20
1
24
21
19
23
14
1
12
18
15
20
19
25
3
23
23
2
17
22
19
6
16
15
26
0
22
25
20
17
11
2
16
20
19
0
21
17
2
18
5
23
19
21
2
15
3
20
23
18
5
15
23
7
21
26
22
18
26
17
22
6
17
24
25
15
20
7
20
24
10
20
21
25
17
25
24
22
6
23
25
2
4
6
6
21
21
22
10
19
4
15
16
1
18
4
25
17
21
22
17
25
17
23
47
2
26
19
22
20
24
21
22
22
15
25
23
2
17
10
22
4
23
13
2
17
14
25
17
23
5
20
1
19
16
10
5
17
2
18
21
6
11
19
2
13
1
11
21
14
2
16
25
21
23
2
22
1
19
16
22
25
9
17
19
3
20
24
18
47
1
15
19
18
19
10
23
20
5
17
17
40
3
19
26
18
2
0
19
22
21
19
22
3
24
9
17
15
17
26
21
1
0
17
2
25
25
24
23
6
21
18
2
19
21
4
23
10
21
0
19
2
17
18
1
0
2
13
21
25
23
20
2
1
19
8
16
1
2
21
19
13
17
40
26
15
26
15
22
24
0
17
22
18
20
22
20
17
26
13
20
25
23
17
25
13
26
1
19
19
0
19
23
39
13
2
19
1
1
18
5
40
23
24
25
15
2
12
18
24
21
19
2
12
21
21
21
10
1
13
4
17
19
23
22
15
4
11
18
24
18
13
1
19
19
21
17
11
9
11
7
17
20
2
25
15
19
14
17
47
9
17
9
23
20
25
20
21
24
15
25
15
22
1
0
19
25
17
23
25
17
23
25
22
19
22
17
15
9
23
2
5
19
1
19
24
10
17
20
2
17
3
26
5
23
12
18
2
22
18
25
2
23
5
17
2
25
3
17
4
21
16
1
15
7
14
16
19
2
14
1
20
25
2
16
15
1
15
16
22
18
15
12
15
1
6
16
19
23
18
1
12
25
21
19
12
4
12
16
21
18
15
4
15
2
19
18
21
2
14
21
12
19
22
25
26
2
1
12
21
12
24
22
16
25
22
22
9
13
21
2
19
15
2
15
19
3
22
15
11
20
17
21
25
19
22
21
17
1
15
1
12
19
22
18
20
1
20
19
22
18
25
23
14
9
23
19
22
25
15
6
15
18
3
16
15
2
16
16
22
19
25
21
17
6
1
18
22
18
21
17
21
20
1
12
17
22
16
12
1
12
1
17
24
15
0
12
8
18
18
4
21
17
2
19
18
1
21
25
17
8
3
21
23
23
25
15
1
13
21
21
18
11
9
11
1
25
21
